Corpus,participants,Stat,Age,Activity,Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,Verbs_Utt,FREQ_types,FREQ_tokens,Language,Group,Age(Month),MLU50_Words,MLU50_Morphemes,TNW_50,Clauses_per_sentence_50,NDW_100,*-PRESP,*-PL,*-POSS,*-PAST,*-S3
SALT Conversation,16,Mean,3.16,Conversation,114.5,104.5,3.29,3.59,0.57,122.5,338.69,English,TD,2;9 to 3;5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,16,SD,0.20,Conversation,60.96,56.59,0.69,0.8,0.2,46.02,182.51,English,TD,2;9 to 3;5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,11,Mean,3.89,Conversation,118.45,111.27,3.58,3.93,0.62,149.91,397.82,English,TD,3;9 to 4;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,11,SD,0.09,Conversation,26.55,28.26,0.77,0.87,0.17,37.05,119.49,English,TD,3;9 to 4;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,14,Mean,4.13,Conversation,113.29,108.36,4.11,4.51,0.75,157.71,436.71,English,TD,4;0 to 4;4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,14,SD,0.11,Conversation,44.24,43.91,0.77,0.85,0.14,48.4,194.93,English,TD,4;0 to 4;4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,8,Mean,4.80,Conversation,58.25,51.5,4.62,5.1,0.9,96.75,238,English,TD,4;7 to 5;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,8,SD,0.17,Conversation,25.29,23.16,0.65,0.64,0.13,34.83,104.76,English,TD,4;7 to 5;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,54,Mean,5.34,Conversation,117.76,108.98,4.86,5.34,0.93,180.5,536.33,English,TD,5;0 to 5;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,54,SD,0.14,Conversation,63.39,60.86,0.98,1.07,0.2,74.69,327.66,English,TD,5;0 to 5;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,90,Mean,5.72,Conversation,92.4,85.48,4.86,5.36,0.92,152.42,416.3,English,TD,5;6 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,90,SD,0.15,Conversation,52.63,50.3,0.99,1.1,0.23,57.98,238.94,English,TD,5;6 to 6;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,68,Mean,6.24,Conversation,94,87.82,5.11,5.64,0.96,159.32,435.03,English,TD,6;0 to 6;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,68,SD,0.14,Conversation,62.69,59.46,1.11,1.22,0.24,65.32,285.23,English,TD,6;0 to 6;6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,67,Mean,6.79,Conversation,93.88,87.87,5.67,6.22,1.08,166.88,483.4,English,TD,6;6 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALT Conversation,67,SD,0.16,Conversation,66.69,62.8,1.17,1.3,0.25,73.35,337.65,English,TD,6;6 to 7;0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
