Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Expository
31 Samples Matched By Age
Context: Exposition
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 31 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-43.77,,17.46,17.00,18.00,0.33
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.03,,70.68,32,150,34.77
        C&I Verbal Utts,0 **,-2.04,,67.77,30,148,33.25
        All Words Including Mazes,0 *,-1.74,,983.00,320,2749,564.76
        Elapsed Time,---,,,5.97,2.62,14.72,3.15
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-97.66,,99.47,96.77,100.00,1.02
        % Intelligible Words,0.0% **,-1032.33,,99.96,99.67,100.00,0.10
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.41,,12.88,9.00,18.49,2.38
        MLU in Morphemes,0.00 **,-5.52,,14.18,10.03,20.04,2.57
        % Utterances with Verbs,0.0% **,-23.53,,97.44,83.33,100.00,4.14
        Mean Verbs per Utterance,0.00 **,-6.36,,2.37,1.70,3.11,0.37
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 *,-1.80,,872.23,297,2459,485.57
        Number Different Words (NDW),0 **,-3.19,,227.68,108,449,71.30
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.02,,40.87,3.56,150.00,39.96
        Mean Turn Length (words),0.00,-0.92,,554.56,33.22,2511.00,602.27
        % Responses to Questions,---,,,94.44,50.00,100.00,16.67
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,-0.41,,0.86,0.00,10.26,2.10
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,163.56,118.61,207.73,25.56
        Pause Time as % of Total Time,---,,,2.72,0.00,16.83,3.83
        Maze Words as % of Total Words,0.0% **,-2.06,,8.99,1.82,18.51,4.36
        % Abandoned Utterances,0.0%,-0.76,,1.96,0.00,8.82,2.58
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.69,,12.04,0.00,28.33,7.14
        Number of Omissions,0 *,-1.02,,3.77,0,13,3.70
        Number of Error Codes,0,-0.95,,6.81,0,31,7.14
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 17;0 - 18;0,,,,,,,
