Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 6;3
Context: ,,,,DATABASE INFORMATION
Database: Conversation
68 Samples Matched By Age
Context: Conversation
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 68 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (6;3),6.25,0.04,,6.24,6.00,6.50,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 *,-1.50,,94.00,20,278,62.69
        C&I Verbal Utts,0 *,-1.48,,87.82,18,257,59.46
        All Words Including Mazes,0 *,-1.55,,503.63,109,1615,323.91
        Elapsed Time,---,,,7.24,2.30,18.37,4.14
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-25.13,,96.91,75.00,100.00,3.86
        % Intelligible Words,0.0% **,-99.02,,99.30,94.03,100.00,1.00
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-4.58,,5.11,2.77,8.15,1.11
        MLU in Morphemes,0.00 **,-4.62,,5.64,3.00,9.26,1.22
        % Utterances with Verbs,0.0% **,-5.13,,65.34,33.33,94.29,12.73
        Mean Verbs per Utterance,0.00 **,-4.00,,0.96,0.43,1.57,0.24
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 *,-1.53,,435.03,85,1417,285.23
        Number Different Words (NDW),0 **,-2.44,,159.32,51,321,65.32
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-3.13,,1.76,1.05,4.13,0.56
        Mean Turn Length (words),0.00 *,-1.95,,9.11,3.29,28.40,4.67
        % Responses to Questions,---,,,78.83,27.78,100.00,12.38
        % Responses to Intonation Prompts,---,,,96.03,50.00,100.00,12.81
        % Utts with Overlapping Speech,0.0% *,-1.55,,9.70,0.00,30.65,6.24
        % Utts Interrupted Other Speaker,0.0%,-0.62,,1.56,0.00,14.00,2.53
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,69.73,25.85,133.91,21.54
        Pause Time as % of Total Time,---,,,6.77,0.00,41.11,7.36
        Maze Words as % of Total Words,0.0% **,-2.36,,10.71,3.06,22.25,4.54
        % Abandoned Utterances,0.0% *,-1.12,,2.76,0.00,11.11,2.47
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.45,,7.77,0.00,26.72,5.37
        Number of Omissions,0,-0.89,,2.72,0,15,3.05
        Number of Error Codes,0,-0.80,,6.22,0,33,7.73
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 6;0 - 6;6,,,,,,,
