Age,Corpus,Language,Activity,Stat,Group,Total_Utts,MLU_Utts,MLU_Morphemes,FREQ_tokens,NDW_100,*-PRESP,*-PL,*-POSS,*-PAST,*-S3
3;0 to 3;11,Leadholm Miller 1992,English,Narration,Mean,TD,143,100,4.01,364,127,7,8,3,4,3
3;0 to 3;11,Leadholm Miller 1992,English,Narration,SD,TD,34,100,0.88,82,23,5,5,3,4,3
4;0 to 4;11,Leadholm Miller 1992,English,Narration,Mean,TD,121,100,5.23,478,163,4,13,3,6,6
4;0 to 4;11,Leadholm Miller 1992,English,Narration,SD,TD,32,100,1.02,94,23,4,7,3,5,6
5;0 to 5;11,Leadholm Miller 1992,English,Narration,Mean,TD,140,100,6.06,553,178,7,11,7,8,7
5;0 to 5;11,Leadholm Miller 1992,English,Narration,SD,TD,22,100,0.94,91,18,5,5,5,5,7
6;0 to 6;11,Leadholm Miller 1992,English,Narration,Mean,TD,146,100,6.17,564,180,6,10,5,11,6
6;0 to 6;11,Leadholm Miller 1992,English,Narration,SD,TD,27,100,1.02,112,26,4,5,4,5,6
7;0,Leadholm Miller 1992,English,Narration,Mean,TD,154,100,7.32,663,194,9,14,5,12,10
7;0,Leadholm Miller 1992,English,Narration,SD,TD,32,100,1.06,97,20,5,6,4,7,13
9;0,Leadholm Miller 1992,English,Narration,Mean,TD,184,100,8.8,800,205,11,17,6,16,10
9;0,Leadholm Miller 1992,English,Narration,SD,TD,35,100,1.64,148,29,5,6,4,8,11
11;0,Leadholm Miller 1992,English,Narration,Mean,TD,167,100,9.83,878,253,15,23,2,17,19
11;0,Leadholm Miller 1992,English,Narration,SD,TD,26,100,1.59,138,34,7,9,2,7,18
13;0,Leadholm Miller 1992,English,Narration,Mean,TD,200,100,9.32,842,237,11,20,2,14,16
13;0,Leadholm Miller 1992,English,Narration,SD,TD,46,100,1.49,132,27,6,9,2,6,12
3;0 to 3;11,Leadholm Miller 1992,English,Conversation,Mean,TD,137,100,3.38,310,118,3,7,1,2,2
3;0 to 3;11,Leadholm Miller 1992,English,Conversation,SD,TD,34,100,0.48,118,20,2,4,2,2,3
4;0 to 4;11,Leadholm Miller 1992,English,Conversation,Mean,TD,138,100,4.22,384,144,3,11,1,2,4
4;0 to 4;11,Leadholm Miller 1992,English,Conversation,SD,TD,33,100,1.02,90,26,3,7,1,2,3
5;0 to 5;11,Leadholm Miller 1992,English,Conversation,Mean,TD,149,100,5.71,520,181,5,15,2,4,7
5;0 to 5;11,Leadholm Miller 1992,English,Conversation,SD,TD,27,100,0.91,81,25,4,8,2,3,5
6;0 to 6;11,Leadholm Miller 1992,English,Conversation,Mean,TD,154,100,5.49,499,177,4,17,2,4,6
6;0 to 6;11,Leadholm Miller 1992,English,Conversation,SD,TD,33,100,0.97,86,23,3,8,2,3,5
7;0,Leadholm Miller 1992,English,Conversation,Mean,TD,170,100,5.92,540,192,4,17,2,5,6
7;0,Leadholm Miller 1992,English,Conversation,SD,TD,32,100,0.9,83,19,3,6,2,3,5
9;0,Leadholm Miller 1992,English,Conversation,Mean,TD,181,100,6.5,592,209,4,20,3,4,6
9;0,Leadholm Miller 1992,English,Conversation,SD,TD,31,100,10.6,95,26,3,8,2,2,3
11;0,Leadholm Miller 1992,English,Conversation,Mean,TD,169,100,7.62,693,229,6,20,5,6,7
11;0,Leadholm Miller 1992,English,Conversation,SD,TD,38,100,1.94,175,38,4,7,4,4,5
13;0,Leadholm Miller 1992,English,Conversation,Mean,TD,200,100,6.99,637,216,7,19,1,7,5
13;0,Leadholm Miller 1992,English,Conversation,SD,TD,43,100,1.43,134,31,3,5,1,3,4
