Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative Story Retell
88 Samples Matched By Age
Context: Narration (DDS)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 88 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-29.49,,11.48,11.00,12.00,0.29
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.57,,55.58,22,107,15.58
        C&I Verbal Utts,0 **,-3.59,,54.39,20,95,15.15
        All Words Including Mazes,0 **,-4.24,,616.60,275,961,145.55
        Elapsed Time,---,,,5.49,2.35,11.18,1.80
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-60.13,,99.35,90.38,100.00,1.65
        % Intelligible Words,0.0% **,-568.57,,99.93,98.88,100.00,0.18
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.00,,10.30,7.35,14.90,1.47
        MLU in Morphemes,0.00 **,-7.05,,11.27,8.12,16.17,1.60
        % Utterances with Verbs,0.0% **,-52.52,,98.29,91.46,100.00,1.87
        Mean Verbs per Utterance,0.00 **,-8.21,,2.02,1.51,2.72,0.25
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-4.35,,548.30,235,841,126.10
        Number Different Words (NDW),0 **,-5.40,,187.09,102,266,34.66
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.09,,43.20,4.00,90.00,20.71
        Mean Turn Length (words),0.00 **,-2.15,,433.08,34.87,832.00,201.35
        % Responses to Questions,---,,,66.00,0.00,100.00,42.19
        % Responses to Intonation Prompts,---,,,50.00,0.00,100.00,70.71
        % Utts with Overlapping Speech,0.0%,-0.27,,0.18,0.00,4.55,0.68
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,118.38,48.67,197.10,28.59
        Pause Time as % of Total Time,---,,,11.05,0.00,39.53,9.23
        Maze Words as % of Total Words,0.0% **,-2.25,,11.02,2.65,27.15,4.89
        % Abandoned Utterances,0.0%,-0.54,,0.82,0.00,6.45,1.52
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.31,,8.94,0.00,37.50,6.85
        Number of Omissions,0,-0.95,,1.55,0,6,1.63
        Number of Error Codes,0 *,-1.27,,3.74,0,12,2.94
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 11;0 - 12;0,,,,,,,
