Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative Story Retell
34 Samples Matched By Age
Context: Narration (FWAY)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 34 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-11.87,,5.25,5.00,5.50,0.19
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.65,,39.29,26,76,10.75
        C&I Verbal Utts,0 **,-4.09,,34.06,20,57,8.32
        All Words Including Mazes,0 **,-3.46,,275.18,165,453,79.64
        Elapsed Time,---,,,3.66,2.25,7.03,1.02
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-12.15,,93.01,69.57,100.00,7.66
        % Intelligible Words,0.0% **,-63.28,,98.76,93.10,100.00,1.56
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.97,,6.56,4.84,8.85,0.94
        MLU in Morphemes,0.00 **,-6.65,,7.23,5.11,9.77,1.09
        % Utterances with Verbs,0.0% **,-12.54,,93.62,61.40,100.00,7.47
        Mean Verbs per Utterance,0.00 **,-7.01,,1.20,0.72,1.64,0.17
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.58,,223.74,125,345,62.42
        Number Different Words (NDW),0 **,-5.50,,85.12,57,117,15.49
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.07,,15.75,1.26,60.00,14.68
        Mean Turn Length (words),0.00 *,-1.02,,103.01,7.04,347.00,100.73
        % Responses to Questions,---,,,60.72,0.00,100.00,30.91
        % Responses to Intonation Prompts,---,,,81.25,0.00,100.00,40.12
        % Utts with Overlapping Speech,0.0%,-0.41,,0.80,0.00,7.50,1.96
        % Utts Interrupted Other Speaker,0.0%,-0.17,,0.04,0.00,1.32,0.23
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,77.57,28.15,123.41,21.30
        Pause Time as % of Total Time,---,,,19.65,3.47,53.08,12.88
        Maze Words as % of Total Words,0.0% *,-1.71,,11.23,0.46,32.41,6.58
        % Abandoned Utterances,0.0%,-0.70,,2.32,0.00,13.89,3.30
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.68,,21.36,3.03,62.50,12.70
        Number of Omissions,0 *,-1.23,,3.00,0,9,2.44
        Number of Error Codes,0 *,-1.28,,6.53,0,23,5.10
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 5;0 - 5;6,,,,,,,
