Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative Story Retell
43 Samples Matched By Age
Context: Narration (FWAY)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 43 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-24.40,,6.77,6.50,7.00,0.15
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.24,,40.88,18,82,12.63
        C&I Verbal Utts,0 **,-3.15,,38.12,12,77,12.12
        All Words Including Mazes,0 **,-2.73,,339.53,166,786,124.41
        Elapsed Time,---,,,3.81,1.33,8.18,1.20
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-16.23,,97.23,66.67,100.00,5.99
        % Intelligible Words,0.0% **,-125.40,,99.61,95.65,100.00,0.79
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8.74,,7.60,5.69,9.55,0.87
        MLU in Morphemes,0.00 **,-8.42,,8.35,6.46,10.23,0.99
        % Utterances with Verbs,0.0% **,-34.70,,97.58,90.32,100.00,2.81
        Mean Verbs per Utterance,0.00 **,-8.13,,1.34,1.04,1.69,0.17
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.92,,290.26,95,588,99.38
        Number Different Words (NDW),0 **,-4.86,,100.53,47,150,20.68
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.29,,22.72,2.79,82.00,17.58
        Mean Turn Length (words),0.00 *,-1.26,,170.69,15.86,608.00,135.99
        % Responses to Questions,---,,,93.18,66.67,100.00,12.26
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.33,,0.36,0.00,4.55,1.08
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,91.19,48.04,148.77,22.40
        Pause Time as % of Total Time,---,,,16.98,0.00,51.92,11.41
        Maze Words as % of Total Words,0.0% *,-1.93,,11.04,2.57,27.46,5.72
        % Abandoned Utterances,0.0%,-0.78,,2.26,0.00,11.11,2.92
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.96,,14.07,0.00,33.33,7.17
        Number of Omissions,0,-0.96,,1.81,0,9,1.88
        Number of Error Codes,0 *,-1.37,,4.51,0,14,3.30
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 6;6 - 7;0,,,,,,,
