Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative SSS
27 Samples Matched By Age
Context: Narration
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 27 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-46.54,,11.08,10.75,11.33,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 *,-1.09,,52.44,11,205,48.08
        C&I Verbal Utts,0 *,-1.10,,48.89,11,191,44.42
        All Words Including Mazes,0 *,-1.00,,504.30,72,2084,503.48
        Elapsed Time,---,,,3.71,0.65,13.73,3.59
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-92.64,,99.72,94.87,100.00,1.08
        % Intelligible Words,0.0% **,-720.86,,99.96,99.35,100.00,0.14
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.78,,8.37,5.96,10.95,1.45
        MLU in Morphemes,0.00 **,-5.62,,9.42,6.92,12.33,1.68
        % Utterances with Verbs,0.0% **,-25.71,,95.61,86.67,100.00,3.72
        Mean Verbs per Utterance,0.00 **,-4.97,,1.60,1.10,2.50,0.32
SEMANTICS,,,,,,,
        Number Total Words (NTW),0,-0.98,,436.63,68,1888,445.31
        Number Different Words (NDW),0 *,-1.34,,139.52,40,492,104.10
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.13,,9.89,3.00,38.67,8.73
        Mean Turn Length (words),0.00,-0.99,,84.65,22.67,361.33,85.09
        % Responses to Questions,---,,,87.08,0.00,100.00,26.56
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,-0.84,,3.65,0.00,18.18,4.37
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,135.86,101.86,170.00,20.55
        Pause Time as % of Total Time,---,,,4.17,0.00,11.67,3.44
        Maze Words as % of Total Words,0.0% **,-2.16,,11.99,1.09,26.70,5.56
        % Abandoned Utterances,0.0% *,-1.17,,5.17,0.00,17.86,4.43
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.38,,7.43,0.00,18.52,5.39
        Number of Omissions,0,-0.71,,1.44,0,8,2.03
        Number of Error Codes,0,-0.87,,2.67,0,10,3.08
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 10;0 - 12;0,,,,,,,
