Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative SSS
23 Samples Matched By Age
Context: Narration
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 23 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-28.09,,8.73,8.50,9.00,0.20
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 *,-1.83,,70.35,10,196,38.43
        C&I Verbal Utts,0 *,-1.98,,64.78,10,169,32.76
        All Words Including Mazes,0 *,-1.67,,609.52,101,1722,366.05
        Elapsed Time,---,,,5.22,0.70,16.35,3.54
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-41.69,,98.52,89.58,100.00,2.36
        % Intelligible Words,0.0% **,-234.82,,99.73,98.44,100.00,0.42
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8.37,,7.91,6.03,10.10,0.95
        MLU in Morphemes,0.00 **,-7.66,,8.75,6.41,11.20,1.14
        % Utterances with Verbs,0.0% **,-26.44,,95.82,86.49,100.00,3.62
        Mean Verbs per Utterance,0.00 **,-7.03,,1.52,1.05,2.00,0.22
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 *,-1.93,,506.35,95,1331,262.79
        Number Different Words (NDW),0 **,-2.26,,150.00,49,329,66.27
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00,-0.91,,13.09,1.92,49.00,14.36
        Mean Turn Length (words),0.00,-0.93,,98.60,16.75,350.00,106.52
        % Responses to Questions,---,,,86.24,33.33,100.00,23.91
        % Responses to Intonation Prompts,---,,,66.67,0.00,100.00,57.74
        % Utts with Overlapping Speech,0.0% *,-1.04,,3.44,0.00,10.20,3.31
        % Utts Interrupted Other Speaker,0.0%,-0.26,,0.25,0.00,4.55,0.97
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,125.30,88.19,207.92,27.94
        Pause Time as % of Total Time,---,,,3.58,0.00,17.31,4.60
        Maze Words as % of Total Words,0.0% *,-1.97,,11.64,1.71,29.03,5.92
        % Abandoned Utterances,0.0% *,-1.10,,4.25,0.00,11.36,3.85
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.34,,10.60,0.00,31.82,7.92
        Number of Omissions,0,-0.85,,3.61,0,16,4.25
        Number of Error Codes,0 *,-1.14,,5.30,0,17,4.66
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 8;6 - 9;0,,,,,,,
