Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Narrative Story Retell
50 Samples Matched By Age
Context: Narration (PGHW)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 50 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-15.91,,7.67,7.00,8.00,0.29
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.60,,39.10,24,64,10.87
        C&I Verbal Utts,0 **,-3.54,,37.00,21,64,10.44
        All Words Including Mazes,0 **,-3.54,,364.30,199,670,102.98
        Elapsed Time,---,,,4.10,1.47,8.65,1.34
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-15.58,,96.52,73.68,100.00,6.19
        % Intelligible Words,0.0% **,-122.60,,99.56,96.77,100.00,0.81
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-9.29,,8.37,6.97,10.64,0.90
        MLU in Morphemes,0.00 **,-9.23,,9.40,7.80,12.00,1.02
        % Utterances with Verbs,0.0% **,-30.11,,97.09,88.46,100.00,3.22
        Mean Verbs per Utterance,0.00 **,-7.96,,1.70,1.24,2.12,0.21
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.24,,310.16,165,646,95.60
        Number Different Words (NDW),0 **,-4.95,,125.16,85,209,25.29
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.67,,22.81,4.43,62.00,13.62
        Mean Turn Length (words),0.00 *,-1.61,,191.98,37.13,503.00,119.60
        % Responses to Questions,---,,,80.00,0.00,100.00,40.00
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.32,,0.22,0.00,3.23,0.69
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,92.08,60.67,141.14,20.18
        Pause Time as % of Total Time,---,,,14.09,0.00,35.98,8.60
        Maze Words as % of Total Words,0.0% *,-1.95,,12.31,3.35,27.48,6.33
        % Abandoned Utterances,0.0%,-0.72,,1.17,0.00,5.71,1.64
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.56,,13.74,0.00,37.93,8.79
        Number of Omissions,0 *,-1.37,,2.06,0,6,1.50
        Number of Error Codes,0 *,-1.37,,3.82,0,12,2.80
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 6;6 - 8;0,,,,,,,
