Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Play
15 database samples
Context: Play
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 15 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-11.41,,4.11,4.00,4.33,0.10
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.15,,139.07,65,272,64.72
        C&I Verbal Utts,0 **,-2.12,,124.53,64,244,58.83
        All Words Including Mazes,0 **,-2.28,,488.33,219,811,214.65
        Elapsed Time,---,,,11.97,7.85,22.42,4.00
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-27.08,,96.30,86.11,100.00,3.56
        % Intelligible Words,0.0% **,-89.46,,98.81,95.95,100.00,1.10
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.52,,3.47,2.18,4.89,0.63
        MLU in Morphemes,0.00 **,-5.06,,3.82,2.42,5.71,0.75
        % Utterances with Verbs,0.0% **,-4.21,,56.32,23.68,78.46,13.38
        Mean Verbs per Utterance,0.00 **,-4.09,,0.73,0.28,0.95,0.18
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.16,,426.73,166,725,197.75
        Number Different Words (NDW),0 **,-3.72,,137.73,82,200,37.07
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-7.52,,1.33,1.09,1.72,0.18
        Mean Turn Length (words),0.00 **,-4.61,,4.43,2.51,6.00,0.96
        % Responses to Questions,---,,,66.61,46.67,90.91,13.77
        % Responses to Intonation Prompts,---,,,61.11,0.00,100.00,49.07
        % Utts with Overlapping Speech,0.0% **,-2.21,,11.96,3.30,21.74,5.40
        % Utts Interrupted Other Speaker,0.0% *,-1.10,,1.32,0.00,3.61,1.21
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,40.52,16.98,55.00,10.66
        Pause Time as % of Total Time,---,,,23.62,6.48,50.11,14.20
        Maze Words as % of Total Words,0.0% *,-1.48,,9.29,3.20,27.29,6.29
        % Abandoned Utterances,0.0% *,-1.08,,2.91,0.00,9.09,2.70
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.95,,10.41,3.30,22.89,5.33
        % Word Errors,0.0% *,-1.73,,2.83,1.03,6.19,1.64
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 4;0 - 4;6,,,,,,,
