Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 
Context: ,,,,DATABASE INFORMATION
Database: Bilingual English Story Retell
393 database samples
Context: Narration (FGTD)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 393 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,7.82,7.50,8.00,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.63,,39.67,20,140,10.92
        C&I Verbal Utts,0 **,-3.46,,37.62,6,129,10.87
        All Words Including Mazes,0 **,-3.40,,358.12,147,1068,105.35
        Elapsed Time,---,,,4.03,1.75,9.48,1.29
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-16.03,,96.94,21.43,100.00,6.05
        % Intelligible Words,0.0% **,-87.89,,99.56,81.89,100.00,1.13
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.18,,7.94,5.50,11.21,1.11
        MLU in Morphemes,0.00 **,-7.10,,8.44,5.93,12.21,1.19
        % Utterances with Verbs,0.0% **,-21.10,,95.46,73.33,100.00,4.52
        Mean Verbs per Utterance,0.00 **,-6.89,,1.43,0.80,2.02,0.21
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.34,,297.97,37,898,89.20
        Number Different Words (NDW),0 **,-4.43,,98.93,28,201,22.33
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.98,,31.51,1.55,102.00,15.91
        Mean Turn Length (words),0.00 *,-1.94,,248.02,9.91,803.00,128.06
        % Responses to Questions,---,,,75.92,0.00,100.00,39.65
        % Responses to Intonation Prompts,---,,,93.57,50.00,100.00,16.46
        % Utts with Overlapping Speech,0.0%,-0.23,,0.35,0.00,14.29,1.54
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,92.53,31.16,174.59,22.37
        Pause Time as % of Total Time,---,,,5.33,0.00,46.23,7.48
        Maze Words as % of Total Words,0.0% **,-2.17,,14.24,0.65,41.36,6.57
        % Abandoned Utterances,0.0%,-0.58,,1.98,0.00,20.83,3.45
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.05,,39.60,1.82,94.87,19.35
        % Word Errors,0.0% *,-1.88,,5.94,0.00,20.29,3.16
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 7;6 - 8;0,,,,,,,
