Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 
Context: ,,,,DATABASE INFORMATION
Database: Bilingual English Story Retell
489 database samples
Context: Narration (FOHO)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 489 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,6.73,6.50,7.00,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.30,,42.24,3,93,12.80
        C&I Verbal Utts,0 **,-2.74,,36.95,3,92,13.50
        All Words Including Mazes,0 **,-2.50,,309.97,21,857,123.88
        Elapsed Time,---,,,4.38,0.58,16.87,1.66
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-9.20,,93.29,20.00,100.00,10.14
        % Intelligible Words,0.0% **,-33.39,,98.61,66.27,100.00,2.95
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.78,,6.39,1.86,9.33,1.11
        MLU in Morphemes,0.00 **,-5.74,,6.75,1.86,9.70,1.18
        % Utterances with Verbs,0.0% **,-6.11,,88.77,0.00,100.00,14.53
        Mean Verbs per Utterance,0.00 **,-4.56,,1.12,0.00,1.80,0.25
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.27,,241.68,16,754,106.65
        Number Different Words (NDW),0 **,-2.69,,74.73,12,174,27.76
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.07,,19.88,1.00,93.00,18.55
        Mean Turn Length (words),0.00 *,-1.01,,127.20,1.76,754.00,126.32
        % Responses to Questions,---,,,76.07,0.00,100.00,35.78
        % Responses to Intonation Prompts,---,,,77.88,0.00,100.00,35.90
        % Utts with Overlapping Speech,0.0%,-0.45,,1.14,0.00,16.47,2.52
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,74.84,8.75,147.02,26.95
        Pause Time as % of Total Time,---,,,17.94,0.00,80.05,15.66
        Maze Words as % of Total Words,0.0% **,-2.08,,14.41,0.00,41.91,6.94
        % Abandoned Utterances,0.0%,-0.72,,5.26,0.00,60.00,7.28
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.72,,50.27,0.00,96.55,18.50
        % Word Errors,0.0% **,-2.28,,9.51,0.00,30.16,4.17
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 6;6 - 7;0,,,,,,,
