Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 
Context: ,,,,DATABASE INFORMATION
Database: Bilingual English Story Retell
428 database samples
Context: Narration (FOHO)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 428 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,6.30,6.00,6.50,0.15
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.51,,40.13,12,90,11.42
        C&I Verbal Utts,0 **,-2.87,,34.66,7,84,12.09
        All Words Including Mazes,0 **,-2.57,,287.44,15,849,111.67
        Elapsed Time,---,,,4.16,1.37,13.05,1.64
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-8.67,,92.40,29.41,100.00,10.65
        % Intelligible Words,0.0% **,-30.06,,98.37,60.00,100.00,3.27
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.82,,6.20,1.00,8.60,1.07
        MLU in Morphemes,0.00 **,-5.74,,6.55,1.14,9.19,1.14
        % Utterances with Verbs,0.0% **,-6.18,,88.29,0.00,100.00,14.29
        Mean Verbs per Utterance,0.00 **,-4.70,,1.09,0.00,1.80,0.23
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.35,,221.10,7,611,94.28
        Number Different Words (NDW),0 **,-2.92,,70.14,4,152,24.00
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.08,,18.18,1.07,90.00,16.89
        Mean Turn Length (words),0.00 *,-1.02,,113.95,1.63,581.00,112.12
        % Responses to Questions,---,,,74.79,0.00,100.00,34.25
        % Responses to Intonation Prompts,---,,,73.33,0.00,100.00,37.31
        % Utts with Overlapping Speech,0.0%,-0.50,,1.25,0.00,15.91,2.50
        % Utts Interrupted Other Speaker,0.0%,-0.05,,0.01,0.00,3.03,0.15
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,73.36,5.71,172.10,25.40
        Pause Time as % of Total Time,---,,,17.78,0.00,96.99,15.27
        Maze Words as % of Total Words,0.0% **,-2.03,,14.76,0.00,51.35,7.28
        % Abandoned Utterances,0.0%,-0.77,,5.44,0.00,48.72,7.04
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.75,,47.98,7.14,95.24,17.47
        % Word Errors,0.0% **,-2.39,,9.27,0.00,23.08,3.87
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 6;0 - 6;6,,,,,,,
