Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 
Context: ,,,,DATABASE INFORMATION
Database: Bilingual English Story Retell
156 database samples
Context: Narration (FOHO)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 156 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,7.12,7.00,7.75,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.21,,45.40,20,111,14.14
        C&I Verbal Utts,0 **,-2.63,,39.45,9,92,15.00
        All Words Including Mazes,0 **,-2.47,,333.13,54,857,134.93
        Elapsed Time,---,,,4.66,1.47,11.45,1.64
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-9.78,,92.66,46.67,100.00,9.47
        % Intelligible Words,0.0% **,-44.48,,98.55,85.80,100.00,2.22
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.45,,6.41,1.86,10.62,1.18
        MLU in Morphemes,0.00 **,-5.34,,6.79,1.86,11.52,1.27
        % Utterances with Verbs,0.0% **,-6.41,,88.58,0.00,100.00,13.82
        Mean Verbs per Utterance,0.00 **,-4.49,,1.14,0.00,1.88,0.25
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.16,,260.35,26,754,120.42
        Number Different Words (NDW),0 **,-2.55,,78.87,13,174,30.96
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00,-0.97,,18.24,1.15,93.00,18.88
        Mean Turn Length (words),0.00,-0.89,,119.16,1.76,754.00,133.25
        % Responses to Questions,---,,,68.86,0.00,100.00,39.24
        % Responses to Intonation Prompts,---,,,74.87,0.00,100.00,39.49
        % Utts with Overlapping Speech,0.0%,-0.49,,1.41,0.00,14.29,2.90
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,74.02,18.16,135.32,25.58
        Pause Time as % of Total Time,---,,,17.81,0.00,72.94,14.93
        Maze Words as % of Total Words,0.0% **,-2.06,,14.00,0.00,31.23,6.80
        % Abandoned Utterances,0.0%,-0.75,,5.30,0.00,40.74,7.06
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-3.05,,51.76,7.14,86.49,16.99
        % Word Errors,0.0% **,-2.64,,9.88,1.56,19.05,3.74
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 7;0 - 7;9,,,,,,,
