Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Bilingual English Unique Story
71 database samples
Context: Narration (OFTM)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 71 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-20.58,,6.74,6.50,7.00,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.65,,35.41,15,90,13.36
        C&I Verbal Utts,0 **,-2.50,,31.73,12,82,12.70
        All Words Including Mazes,0 **,-2.72,,263.01,84,556,96.54
        Elapsed Time,---,,,3.67,1.45,10.28,1.40
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-11.82,,93.66,50.00,100.00,7.92
        % Intelligible Words,0.0% **,-64.04,,98.84,90.87,100.00,1.54
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.52,,6.60,4.19,9.08,1.01
        MLU in Morphemes,0.00 **,-6.56,,6.91,4.60,9.19,1.05
        % Utterances with Verbs,0.0% **,-6.90,,88.39,10.00,100.00,12.82
        Mean Verbs per Utterance,0.00 **,-5.21,,1.05,0.10,1.42,0.20
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.51,,209.42,63,489,83.55
        Number Different Words (NDW),0 **,-3.09,,59.03,20,122,19.11
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.46,,20.27,2.21,70.00,13.85
        Mean Turn Length (words),0.00 *,-1.35,,135.68,14.07,446.00,100.25
        % Responses to Questions,---,,,89.39,50.00,100.00,18.67
        % Responses to Intonation Prompts,---,,,84.38,0.00,100.00,35.20
        % Utts with Overlapping Speech,0.0%,-0.46,,0.77,0.00,7.14,1.69
        % Utts Interrupted Other Speaker,0.0%,-0.12,,0.05,0.00,3.23,0.38
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,74.76,28.32,131.86,22.07
        Pause Time as % of Total Time,---,,,16.83,0.00,55.14,12.06
        Maze Words as % of Total Words,0.0% *,-1.92,,13.76,2.63,31.99,7.16
        % Abandoned Utterances,0.0%,-0.81,,3.22,0.00,16.22,3.95
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.55,,45.72,9.62,88.00,17.90
        % Word Errors,0.0% **,-2.24,,8.13,1.06,17.60,3.62
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 6;6 - 7;0,,,,,,,
