Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Bilingual English Unique Story
63 database samples
Context: Narration (OFTM)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 63 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-25.15,,7.22,7.00,7.50,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.34,,36.25,13,64,10.86
        C&I Verbal Utts,0 **,-2.80,,32.52,6,63,11.62
        All Words Including Mazes,0 **,-2.78,,266.76,65,474,95.92
        Elapsed Time,---,,,3.66,1.32,10.28,1.53
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-9.26,,92.97,60.61,100.00,10.04
        % Intelligible Words,0.0% **,-49.78,,98.73,91.62,100.00,1.98
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.79,,6.47,3.47,8.58,0.83
        MLU in Morphemes,0.00 **,-7.64,,6.81,3.67,9.00,0.89
        % Utterances with Verbs,0.0% **,-8.86,,90.61,40.00,100.00,10.23
        Mean Verbs per Utterance,0.00 **,-6.22,,1.08,0.40,1.42,0.17
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.49,,213.37,38,398,85.66
        Number Different Words (NDW),0 **,-3.04,,61.94,16,101,20.40
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.63,,23.97,2.00,54.00,14.73
        Mean Turn Length (words),0.00 *,-1.53,,153.77,13.14,405.00,100.70
        % Responses to Questions,---,,,87.50,0.00,100.00,35.36
        % Responses to Intonation Prompts,---,,,93.75,75.00,100.00,11.57
        % Utts with Overlapping Speech,0.0%,-0.43,,0.61,0.00,6.12,1.41
        % Utts Interrupted Other Speaker,0.0%,-0.13,,0.05,0.00,3.13,0.39
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,77.10,25.83,128.97,24.65
        Pause Time as % of Total Time,---,,,18.44,0.00,66.89,14.35
        Maze Words as % of Total Words,0.0% *,-1.97,,13.85,2.63,34.36,7.04
        % Abandoned Utterances,0.0%,-0.52,,4.05,0.00,53.85,7.74
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.29,,43.09,2.63,80.00,18.85
        % Word Errors,0.0% **,-2.23,,7.46,0.34,15.42,3.35
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 7;0 - 7;6,,,,,,,
