Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Bilingual Spanish Story Retell
394 database samples
Context: Narration (FGTD)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 394 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-18.92,,6.24,6.00,6.50,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.24,,33.63,13,85,10.39
        C&I Verbal Utts,0 **,-3.12,,31.49,7,81,10.10
        All Words Including Mazes,0 **,-2.45,,244.39,50,763,99.63
        Elapsed Time,---,,,3.71,1.07,8.35,1.17
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-17.62,,97.25,62.07,100.00,5.52
        % Intelligible Words,0.0% **,-89.58,,99.51,91.30,100.00,1.11
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.09,,6.66,2.88,10.35,1.09
        MLU in Morphemes,0.00 **,-6.04,,6.70,2.88,10.61,1.11
        % Utterances with Verbs,0.0% **,-3.68,,64.69,16.00,100.00,17.58
        Mean Verbs per Utterance,0.00 **,-2.94,,0.81,0.22,1.78,0.28
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.62,,212.39,30,634,81.13
        Number Different Words (NDW),0 **,-3.76,,74.68,22,144,19.86
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.84,,26.03,1.09,85.00,14.16
        Mean Turn Length (words),0.00 *,-1.70,,172.41,5.83,493.00,101.28
        % Responses to Questions,---,,,82.93,33.33,100.00,23.16
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,-0.23,,0.42,0.00,17.24,1.83
        % Utts Interrupted Other Speaker,0.0%,-0.05,,0.01,0.00,4.17,0.21
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,67.64,17.23,154.78,21.92
        Pause Time as % of Total Time~,---,,,13.81,0.00,55.82,15.09
        Maze Words as % of Total Words,0.0% *,-1.21,,7.80,0.00,30.08,6.46
        % Abandoned Utterances,0.0%,-0.74,,3.19,0.00,31.25,4.28
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.07,,10.68,0.00,65.12,9.97
        % Word Errors,0.0%,-0.96,,1.85,0.00,15.15,1.94
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Pause data based on a subset of 93 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 6;0 - 6;6,,,,,,,
