Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 
Context: ,,,,DATABASE INFORMATION
Database: Bilingual Spanish Story Retell
125 database samples
Context: Narration (FOHO)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 125 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (),---,,,7.12,7.00,7.67,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.75,,45.44,13,116,16.53
        C&I Verbal Utts,0 **,-2.68,,43.96,10,115,16.39
        All Words Including Mazes,0 **,-2.20,,325.40,66,948,147.98
        Elapsed Time,---,,,4.36,1.52,8.23,1.40
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-18.06,,98.04,65.85,100.00,5.43
        % Intelligible Words,0.0% **,-81.79,,99.63,90.91,100.00,1.22
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.24,,6.42,4.41,8.81,0.89
        MLU in Morphemes,0.00 **,-7.21,,6.49,4.45,8.90,0.90
        % Utterances with Verbs,0.0% **,-2.83,,66.28,15.00,100.00,23.41
        Mean Verbs per Utterance,0.00 **,-2.44,,0.87,0.17,2.00,0.36
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.28,,286.68,55,846,125.69
        Number Different Words (NDW),0 **,-3.74,,91.66,30,185,24.50
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.81,,37.30,1.89,116.00,20.59
        Mean Turn Length (words),0.00 *,-1.61,,242.63,11.47,855.00,150.53
        % Responses to Questions,---,,,96.43,75.00,100.00,9.45
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,-0.24,,0.32,0.00,11.11,1.37
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,75.34,18.86,137.84,22.65
        Pause Time as % of Total Time~,---,,,11.86,0.00,51.42,12.49
        Maze Words as % of Total Words,0.0% *,-1.17,,8.78,0.00,29.11,7.49
        % Abandoned Utterances,0.0%,-0.52,,1.44,0.00,23.08,2.76
ERRORS,,,,,,,
        % Utterances with Errors,0.0%,-0.90,,9.75,0.00,76.47,10.81
        % Word Errors,0.0%,-0.88,,1.68,0.00,12.85,1.90
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Pause data based on a subset of 46 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 7;0 - 7;8,,,,,,,
