Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Bilingual Spanish Story Retell
494 database samples
Context: Narration (FWAY)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 494 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-28.44,,7.29,7.00,7.50,0.15
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.97,,38.35,2,66,9.65
        C&I Verbal Utts,0 **,-3.83,,36.85,2,66,9.63
        All Words Including Mazes,0 **,-3.01,,259.97,22,564,86.45
        Elapsed Time,---,,,3.95,0.73,12.15,1.37
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-24.02,,98.76,42.86,100.00,4.11
        % Intelligible Words,0.0% **,-129.54,,99.78,91.57,100.00,0.77
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.61,,6.30,3.00,12.50,0.95
        MLU in Morphemes,0.00 **,-6.53,,6.48,3.00,13.00,0.99
        % Utterances with Verbs,0.0% **,-3.58,,61.13,15.38,100.00,17.07
        Mean Verbs per Utterance,0.00 **,-2.80,,0.78,0.21,2.00,0.28
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.21,,233.26,9,452,72.78
        Number Different Words (NDW),0 **,-4.16,,79.50,9,129,19.11
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.59,,33.49,1.22,66.00,12.95
        Mean Turn Length (words),0.00 **,-2.35,,209.41,2.56,460.00,89.06
        % Responses to Questions,---,,,83.62,0.00,100.00,26.25
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.12,,0.06,0.00,7.32,0.49
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,68.96,8.48,131.75,21.30
        Pause Time as % of Total Time~,---,,,13.01,0.00,64.90,11.82
        Maze Words as % of Total Words,0.0%,-0.93,,6.66,0.00,36.84,7.16
        % Abandoned Utterances,0.0%,-0.50,,2.56,0.00,47.37,5.11
ERRORS,,,,,,,
        % Utterances with Errors,0.0%,-0.84,,10.38,0.00,94.74,12.35
        % Word Errors,0.0%,-0.73,,1.93,0.00,26.32,2.66
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Pause data based on a subset of 134 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 7;0 - 7;6,,,,,,,
