Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Bilingual Spanish Story Retell
278 database samples
Context: Narration (FWAY)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 278 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-29.64,,8.21,8.00,8.50,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.86,,41.15,9,118,10.67
        C&I Verbal Utts,0 **,-3.75,,39.76,7,116,10.59
        All Words Including Mazes,0 **,-3.13,,307.06,80,932,98.20
        Elapsed Time,---,,,4.08,1.10,15.73,1.65
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-36.47,,98.94,81.82,100.00,2.71
        % Intelligible Words,0.0% **,-214.04,,99.83,96.60,100.00,0.47
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.69,,6.74,3.92,9.23,0.88
        MLU in Morphemes,0.00 **,-7.65,,6.93,4.07,9.46,0.90
        % Utterances with Verbs,0.0% **,-3.40,,66.05,31.58,100.00,19.40
        Mean Verbs per Utterance,0.00 **,-2.67,,0.88,0.32,2.02,0.33
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.34,,267.97,50,820,80.16
        Number Different Words (NDW),0 **,-4.62,,88.83,24,193,19.22
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.53,,36.19,2.70,118.00,14.29
        Mean Turn Length (words),0.00 **,-2.40,,241.40,11.56,825.00,100.45
        % Responses to Questions,---,,,84.72,0.00,100.00,27.90
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.10,,0.10,0.00,13.95,0.92
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,79.92,20.41,146.16,24.02
        Pause Time as % of Total Time~,---,,,9.42,0.00,51.66,10.48
        Maze Words as % of Total Words,0.0% *,-1.22,,10.14,0.00,40.23,8.30
        % Abandoned Utterances,0.0%,-0.54,,1.91,0.00,33.33,3.52
ERRORS,,,,,,,
        % Utterances with Errors,0.0%,-0.93,,8.87,0.00,59.09,9.50
        % Word Errors,0.0%,-0.79,,1.51,0.00,19.05,1.92
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Pause data based on a subset of 142 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 8;0 - 8;6,,,,,,,
