Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Bilingual Spanish Unique Story
73 database samples
Context: Narration (OFTM)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 73 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-20.73,,6.74,6.50,7.00,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.49,,39.79,17,88,15.98
        C&I Verbal Utts,0 **,-2.49,,38.07,16,87,15.31
        All Words Including Mazes,0 **,-2.34,,276.64,86,665,118.22
        Elapsed Time,---,,,3.80,1.32,7.35,1.27
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-17.80,,98.77,53.85,100.00,5.55
        % Intelligible Words,0.0% **,-95.93,,99.77,91.40,100.00,1.04
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.42,,6.49,4.25,10.42,1.01
        MLU in Morphemes,0.00 **,-6.30,,6.54,4.25,10.74,1.04
        % Utterances with Verbs,0.0% **,-3.92,,64.55,0.00,100.00,16.46
        Mean Verbs per Utterance,0.00 **,-3.07,,0.86,0.00,1.52,0.28
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.39,,246.45,85,617,103.10
        Number Different Words (NDW),0 **,-3.43,,72.44,19,131,21.12
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.38,,38.24,6.82,88.00,16.04
        Mean Turn Length (words),0.00 **,-2.35,,244.12,42.18,629.00,104.09
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,0.00,,0.00,0.00,0.00,0.00
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,72.92,20.00,107.16,17.05
        Pause Time as % of Total Time~,---,,,1.15,0.00,17.65,3.63
        Maze Words as % of Total Words,0.0% *,-1.15,,7.30,0.00,37.00,6.35
        % Abandoned Utterances,0.0%,-0.78,,2.35,0.00,11.54,3.00
ERRORS,,,,,,,
        % Utterances with Errors,0.0%,-0.98,,11.45,0.00,64.71,11.67
        % Word Errors,0.0% *,-1.05,,1.84,0.00,7.73,1.75
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Pause data based on a subset of 33 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 6;6 - 7;0,,,,,,,
