Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Bilingual Spanish Unique Story
62 database samples
Context: Narration (OFTM)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 62 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-25.38,,7.23,7.00,7.50,0.17
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.26,,42.05,10,99,18.63
        C&I Verbal Utts,0 **,-2.24,,39.85,10,97,17.82
        All Words Including Mazes,0 **,-2.03,,291.71,75,676,143.92
        Elapsed Time,---,,,3.92,1.28,7.82,1.71
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-15.56,,97.67,57.14,100.00,6.28
        % Intelligible Words,0.0% **,-78.91,,99.60,90.72,100.00,1.26
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.96,,6.44,4.05,8.84,0.92
        MLU in Morphemes,0.00 **,-7.01,,6.50,4.16,8.91,0.93
        % Utterances with Verbs,0.0% **,-4.34,,65.96,25.00,100.00,15.19
        Mean Verbs per Utterance,0.00 **,-3.21,,0.86,0.25,1.73,0.27
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.08,,259.34,61,604,124.96
        Number Different Words (NDW),0 **,-3.35,,76.47,27,130,22.81
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.09,,39.17,5.40,99.00,18.78
        Mean Turn Length (words),0.00 *,-1.90,,253.02,37.00,627.00,132.99
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,0.00,,0.00,0.00,0.00,0.00
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,75.22,18.04,113.33,19.30
        Pause Time as % of Total Time~,---,,,0.22,0.00,4.17,0.79
        Maze Words as % of Total Words,0.0% *,-1.25,,6.71,0.00,24.78,5.36
        % Abandoned Utterances,0.0%,-0.77,,2.72,0.00,15.00,3.53
ERRORS,,,,,,,
        % Utterances with Errors,0.0%,-0.74,,10.84,0.00,88.89,14.68
        % Word Errors,0.0%,-0.84,,1.70,0.00,9.05,2.03
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Pause data based on a subset of 30 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 7;0 - 7;6,,,,,,,
