Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Story Retell
14 database samples
Context: Narration (Bus)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 14 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-16.84,,5.63,5.25,5.75,0.16
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.66,,16.07,7,27,4.39
        C&I Verbal Utts,0 **,-3.11,,14.93,5,25,4.80
        All Words Including Mazes,0 **,-2.72,,120.07,37,225,44.07
        Elapsed Time,---,,,1.89,0.92,3.77,0.74
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-8.31,,93.63,66.67,100.00,11.27
        % Intelligible Words,0.0% **,-43.85,,98.80,92.96,100.00,2.25
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.83,,6.89,4.70,8.46,1.01
        MLU in Morphemes,0.00 **,-6.38,,7.27,4.90,9.08,1.14
        % Utterances with Verbs,0.0% **,-16.25,,95.01,80.00,100.00,5.85
        Mean Verbs per Utterance,0.00 **,-6.09,,1.31,0.90,1.77,0.22
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.65,,104.36,33,186,39.36
        Number Different Words (NDW),0 **,-3.19,,53.14,21,84,16.67
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00,-0.94,,5.24,1.67,20.00,5.60
        Mean Turn Length (words),0.00,-0.93,,35.93,7.89,130.00,38.51
        % Responses to Questions,---,,,82.14,33.33,100.00,25.65
        % Responses to Intonation Prompts,---,,,106.67,66.67,200.00,34.43
        % Utts with Overlapping Speech,0.0%,-0.54,,2.67,0.00,14.29,4.92
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,66.16,23.23,93.67,20.07
        Pause Time as % of Total Time,---,,,6.01,0.00,29.09,9.02
        Maze Words as % of Total Words,0.0% *,-1.58,,8.45,0.00,18.24,5.33
        % Abandoned Utterances,0.0%,-0.59,,1.77,0.00,7.69,3.03
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.49,,19.79,0.00,50.00,13.31
        % Word Errors,0.0% *,-1.32,,3.69,0.00,10.43,2.80
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 5;3 - 5;9,,,,,,,
