Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Story Retell
22 database samples
Context: Narration (Bus)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 22 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-32.46,,7.53,7.25,7.75,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-5.73,,17.77,11,23,3.10
        C&I Verbal Utts,0 **,-5.58,,17.23,11,23,3.09
        All Words Including Mazes,0 **,-5.27,,156.36,91,209,29.65
        Elapsed Time,---,,,1.55,0.98,2.45,0.34
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-37.81,,98.63,92.86,100.00,2.61
        % Intelligible Words,0.0% **,-303.92,,99.83,99.10,100.00,0.33
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8.68,,8.40,7.05,10.83,0.97
        MLU in Morphemes,0.00 **,-8.73,,9.04,7.57,11.83,1.04
        % Utterances with Verbs,0.0% **,-23.37,,97.43,87.50,100.00,4.17
        Mean Verbs per Utterance,0.00 **,-6.81,,1.70,1.33,2.17,0.25
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-5.71,,143.86,86,187,25.21
        Number Different Words (NDW),0 **,-6.74,,74.36,53,90,11.03
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.92,,11.15,2.83,20.00,5.82
        Mean Turn Length (words),0.00 *,-1.83,,92.46,20.17,180.00,50.48
        % Responses to Questions,---,,,66.67,0.00,100.00,57.74
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.21,,0.25,0.00,5.56,1.18
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,102.34,71.02,123.75,15.65
        Pause Time as % of Total Time,---,,,2.26,0.00,26.53,5.95
        Maze Words as % of Total Words,0.0% *,-1.57,,7.26,0.00,16.11,4.62
        % Abandoned Utterances,0.0%,-0.38,,1.61,0.00,18.18,4.22
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.24,,13.71,0.00,45.45,11.10
        % Word Errors,0.0% *,-1.10,,1.46,0.00,4.65,1.33
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 7;3 - 7;9,,,,,,,
