Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Monolingual Spanish Story Retell
35 database samples
Context: Narration (FOHO)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 35 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-24.27,,6.76,6.50,7.00,0.15
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.17,,46.26,20,71,11.10
        C&I Verbal Utts,0 **,-4.19,,42.60,18,68,10.16
        All Words Including Mazes,0 **,-3.99,,310.51,116,466,77.91
        Elapsed Time,---,,,3.70,2.03,5.35,0.94
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-32.22,,98.48,84.85,100.00,3.06
        % Intelligible Words,0.0% **,-138.85,,99.70,96.00,100.00,0.72
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.60,,6.47,4.54,7.87,0.85
        MLU in Morphemes,0.00 **,-7.74,,6.54,4.83,7.95,0.84
        % Utterances with Verbs,0.0% **,-4.41,,49.29,16.67,66.67,11.17
        Mean Verbs per Utterance,0.00 **,-3.53,,0.64,0.17,1.07,0.18
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.83,,276.17,105,430,72.10
        Number Different Words (NDW),0 **,-4.89,,95.66,48,147,19.57
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.60,,31.93,2.93,70.00,20.00
        Mean Turn Length (words),0.00 *,-1.57,,198.92,17.21,437.00,126.39
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,0.00,,0.00,0.00,0.00,0.00
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,86.58,36.33,131.34,22.16
        Pause Time as % of Total Time~,---,,,11.86,1.59,48.62,18.23
        Maze Words as % of Total Words,0.0% *,-1.86,,7.00,0.46,15.71,3.76
        % Abandoned Utterances,0.0%,-0.91,,3.82,0.00,13.89,4.19
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.97,,18.90,5.00,36.84,6.37
        % Word Errors,0.0% **,-2.81,,3.39,0.87,6.08,1.21
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Pause data based on a subset of 6 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 6;6 - 7;0,,,,,,,
