Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: Monolingual Spanish Story Retell
38 database samples
Context: Narration (FOHO)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 38 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-36.70,,8.24,8.00,8.50,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-5.98,,51.05,34,71,8.54
        C&I Verbal Utts,0 **,-5.76,,49.24,34,70,8.54
        All Words Including Mazes,0 **,-5.25,,386.08,264,551,73.55
        Elapsed Time,---,,,4.03,2.43,8.68,1.15
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-116.70,,99.69,96.30,100.00,0.85
        % Intelligible Words,0.0% **,-769.06,,99.95,99.40,100.00,0.13
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8.87,,7.23,5.49,9.00,0.82
        MLU in Morphemes,0.00 **,-8.81,,7.32,5.54,9.10,0.83
        % Utterances with Verbs,0.0% **,-4.75,,53.66,34.15,92.00,11.29
        Mean Verbs per Utterance,0.00 **,-3.97,,0.76,0.39,1.17,0.19
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-4.69,,356.39,225,528,76.00
        Number Different Words (NDW),0 **,-6.68,,115.84,81,163,17.34
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.65,,43.65,6.83,71.00,16.47
        Mean Turn Length (words),0.00 **,-2.44,,313.74,41.33,528.00,128.44
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,0.00,,0.00,0.00,0.00,0.00
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,99.57,47.33,135.61,20.62
        Pause Time as % of Total Time~,---,,,6.09,1.49,17.91,6.04
        Maze Words as % of Total Words,0.0% *,-1.51,,6.52,0.42,19.62,4.31
        % Abandoned Utterances,0.0%,-0.90,,2.38,0.00,10.34,2.64
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.71,,21.31,4.26,48.65,7.88
        % Word Errors,0.0% **,-2.61,,3.29,0.56,7.08,1.26
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Pause data based on a subset of 6 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 8;0 - 8;6,,,,,,,
