Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Conversation
45 database samples
Context: Conversation
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 45 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-17.68,,5.74,5.50,6.00,0.15
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.65,,90.31,47,187,34.11
        C&I Verbal Utts,0 **,-2.57,,83.62,43,174,32.54
        All Words Including Mazes,0 **,-2.18,,476.11,178,1396,218.43
        Elapsed Time,---,,,8.50,3.65,14.83,2.31
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-32.39,,96.73,89.86,100.00,2.99
        % Intelligible Words,0.0% **,-98.13,,99.17,94.41,100.00,1.01
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-4.28,,4.97,3.23,7.97,1.16
        MLU in Morphemes,0.00 **,-4.44,,5.52,3.57,8.79,1.24
        % Utterances with Verbs,0.0% **,-5.94,,69.03,43.40,87.23,11.61
        Mean Verbs per Utterance,0.00 **,-3.73,,0.95,0.55,1.69,0.26
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.24,,410.96,171,1158,183.16
        Number Different Words (NDW),0 **,-3.55,,153.00,93,300,43.11
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.88,,1.60,1.07,4.10,0.55
        Mean Turn Length (words),0.00 **,-2.00,,7.94,3.15,21.00,3.96
        % Responses to Questions,---,,,77.25,50.00,100.00,12.75
        % Responses to Intonation Prompts,---,,,63.44,0.00,100.00,38.42
        % Utts with Overlapping Speech,0.0%,-0.90,,2.52,0.00,11.36,2.78
        % Utts Interrupted Other Speaker,0.0%,-0.50,,0.45,0.00,3.08,0.90
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,58.04,18.29,123.18,22.81
        Pause Time as % of Total Time,---,,,4.88,0.00,62.09,9.67
        Maze Words as % of Total Words,0.0% *,-1.83,,10.05,1.31,25.91,5.50
        % Abandoned Utterances,0.0%,-0.69,,1.56,0.00,13.70,2.26
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.46,,5.37,0.00,15.38,3.68
        % Word Errors,0.0% *,-1.40,,0.88,0.00,2.51,0.63
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 5;6 - 6;0,,,,,,,
