Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Conversation
42 database samples
Context: Conversation
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 42 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-16.62,,5.29,5.00,5.50,0.14
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.60,,96.50,50,160,26.83
        C&I Verbal Utts,0 **,-3.35,,89.64,35,154,26.77
        All Words Including Mazes,0 **,-2.73,,476.12,201,942,174.70
        Elapsed Time,---,,,9.06,5.38,14.65,1.78
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-29.56,,96.95,81.25,100.00,3.28
        % Intelligible Words,0.0% **,-82.57,,99.08,94.41,100.00,1.20
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.39,,4.54,2.91,6.27,0.84
        MLU in Morphemes,0.00 **,-5.38,,5.08,3.24,6.87,0.94
        % Utterances with Verbs,0.0% **,-5.62,,64.27,36.49,81.25,11.43
        Mean Verbs per Utterance,0.00 **,-4.14,,0.83,0.39,1.20,0.20
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.74,,410.86,128,857,149.94
        Number Different Words (NDW),0 **,-4.00,,157.50,72,265,39.36
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-4.71,,1.51,1.00,2.56,0.32
        Mean Turn Length (words),0.00 **,-2.82,,6.83,2.95,12.67,2.42
        % Responses to Questions,---,,,78.84,55.36,95.00,10.59
        % Responses to Intonation Prompts,---,,,70.59,0.00,100.00,33.56
        % Utts with Overlapping Speech,0.0% *,-1.18,,1.95,0.00,5.93,1.66
        % Utts Interrupted Other Speaker,0.0%,-0.59,,0.60,0.00,3.48,1.02
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,52.58,24.61,95.31,16.36
        Pause Time as % of Total Time,---,,,2.86,0.00,13.06,3.02
        Maze Words as % of Total Words,0.0% **,-2.24,,9.44,2.71,17.16,4.21
        % Abandoned Utterances,0.0% *,-1.04,,1.87,0.00,8.82,1.80
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.35,,5.56,0.00,13.91,4.13
        % Word Errors,0.0% *,-1.12,,1.00,0.00,4.13,0.90
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 5;0 - 5;6,,,,,,,
