Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Conversation
33 database samples
Context: Conversation
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 33 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-9.49,,4.67,4.42,5.00,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.63,,99.45,51,147,27.43
        C&I Verbal Utts,0 **,-3.53,,92.79,46,145,26.27
        All Words Including Mazes,0 **,-2.39,,447.76,195,912,187.44
        Elapsed Time,---,,,8.59,6.05,11.00,1.28
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-25.79,,96.31,84.40,100.00,3.73
        % Intelligible Words,0.0% **,-87.89,,98.95,94.85,100.00,1.13
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-4.85,,4.05,2.57,5.85,0.84
        MLU in Morphemes,0.00 **,-4.91,,4.53,2.92,6.67,0.92
        % Utterances with Verbs,0.0% **,-5.93,,59.77,43.96,78.99,10.08
        Mean Verbs per Utterance,0.00 **,-4.62,,0.77,0.51,1.18,0.17
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.51,,380.48,162,807,151.44
        Number Different Words (NDW),0 **,-3.97,,146.03,83,217,36.76
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-4.51,,1.47,1.05,2.28,0.33
        Mean Turn Length (words),0.00 **,-2.51,,6.08,2.86,12.07,2.42
        % Responses to Questions,---,,,74.54,49.32,96.15,11.86
        % Responses to Intonation Prompts,---,,,80.23,18.18,100.00,26.18
        % Utts with Overlapping Speech,0.0% *,-1.03,,2.24,0.00,8.06,2.17
        % Utts Interrupted Other Speaker,0.0%,-0.67,,0.72,0.00,4.35,1.08
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,52.17,22.04,99.28,20.44
        Pause Time as % of Total Time,---,,,2.63,0.00,15.85,3.11
        Maze Words as % of Total Words,0.0% *,-1.35,,9.19,0.75,31.72,6.82
        % Abandoned Utterances,0.0%,-0.69,,1.39,0.00,7.41,2.01
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.43,,7.46,0.00,21.21,5.20
        % Word Errors,0.0% *,-1.23,,1.41,0.00,3.91,1.14
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 4;5 - 5;0,,,,,,,
