Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Expository
32 database samples
Context: Exposition
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 32 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-26.47,,7.30,7.00,7.50,0.16
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 *,-1.80,,22.88,7,60,12.71
        C&I Verbal Utts,0 *,-1.80,,21.66,7,56,12.04
        All Words Including Mazes,0 *,-1.51,,212.88,38,540,140.67
        Elapsed Time,---,,,3.03,1.47,5.72,1.06
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-29.85,,98.56,87.80,100.00,3.30
        % Intelligible Words,0.0% **,-191.27,,99.79,97.66,100.00,0.52
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-4.02,,7.93,4.44,14.00,1.97
        MLU in Morphemes,0.00 **,-4.02,,8.58,5.11,14.97,2.13
        % Utterances with Verbs,0.0% **,-9.32,,88.15,63.64,100.00,9.46
        Mean Verbs per Utterance,0.00 **,-3.88,,1.66,0.86,2.66,0.43
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 *,-1.52,,179.59,37,490,118.25
        Number Different Words (NDW),0 **,-2.15,,78.41,27,161,36.39
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.81,,2.37,1.00,7.75,1.31
        Mean Turn Length (words),0.00 *,-1.37,,19.44,5.29,66.25,14.15
        % Responses to Questions,---,,,72.80,33.33,100.00,21.43
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.57,,1.98,0.00,12.50,3.48
        % Utts Interrupted Other Speaker,0.0%,-0.36,,0.84,0.00,9.09,2.34
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,65.76,18.26,120.90,27.00
        Pause Time as % of Total Time,---,,,9.86,0.00,46.56,11.53
        Maze Words as % of Total Words,0.0% *,-1.80,,14.36,0.00,28.57,7.99
        % Abandoned Utterances,0.0%,-0.53,,2.96,0.00,26.67,5.62
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.55,,14.80,0.00,33.33,9.57
        % Word Errors,0.0%,-0.83,,0.87,0.00,3.75,1.04
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 7;0 - 7;6,,,,,,,
