Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Personal Narrative
18 database samples
Context: Narration
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 18 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-51.22,,8.13,8.00,8.33,0.10
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.77,,81.67,49,128,21.64
        C&I Verbal Utts,0 **,-3.49,,76.67,45,124,21.96
        All Words Including Mazes,0 **,-3.32,,542.94,230,887,163.59
        Elapsed Time~,---,,,7.56,3.23,13.62,2.72
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-38.14,,97.07,90.48,100.00,2.54
        % Intelligible Words,0.0% **,-213.19,,99.50,98.22,100.00,0.47
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.86,,6.21,4.78,8.45,1.06
        MLU in Morphemes,0.00 **,-6.16,,6.75,5.18,8.96,1.10
        % Utterances with Verbs,0.0% **,-11.28,,78.49,66.10,91.76,6.96
        Mean Verbs per Utterance,0.00 **,-6.67,,1.16,0.89,1.46,0.17
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.10,,477.00,215,831,154.04
        Number Different Words (NDW),0 **,-4.39,,177.83,94,277,40.51
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.09,,1.94,1.23,4.68,0.93
        Mean Turn Length (words),0.00 *,-1.52,,12.36,5.53,35.63,8.16
        % Responses to Questions,---,,,93.64,78.05,100.00,7.57
        % Responses to Intonation Prompts,---,,,55.36,0.00,100.00,51.97
        % Utts with Overlapping Speech,0.0%,-0.73,,3.45,0.00,20.00,4.71
        % Utts Interrupted Other Speaker,0.0%,-0.43,,0.53,0.00,3.80,1.23
VERBAL FACILITY,,,,,,,
        Words per Minute~,---,,,78.32,31.36,141.92,27.55
        Pause Time as % of Total Time~,---,,,2.61,0.00,9.41,3.02
        Maze Words as % of Total Words,0.0% **,-2.27,,8.93,3.60,16.93,3.93
        % Abandoned Utterances,0.0%,-0.68,,1.91,0.00,10.71,2.80
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.89,,9.56,0.00,18.95,5.05
        % Word Errors,0.0% *,-1.65,,1.35,0.00,2.98,0.82
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Elapsed Time and Words/Minute based on a subset of 16 database samples
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
~ Value Missing For Some Database Records
Database selection criteria: Age 8;0 - 8;6,,,,,,,
