Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Story Retell
37 database samples
Context: Narration (AGL)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 37 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-20.47,,5.75,5.50,6.00,0.13
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.86,,12.43,7,25,4.34
        C&I Verbal Utts,0 **,-2.83,,11.84,5,23,4.18
        All Words Including Mazes,0 **,-2.41,,94.00,35,193,39.04
        Elapsed Time,---,,,1.69,0.75,3.55,0.67
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-27.14,,98.53,85.71,100.00,3.63
        % Intelligible Words,0.0% **,-154.67,,99.74,97.56,100.00,0.64
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.37,,6.74,3.85,8.21,1.06
        MLU in Morphemes,0.00 **,-5.98,,7.18,4.23,8.93,1.20
        % Utterances with Verbs,0.0% **,-17.48,,96.82,77.78,100.00,5.54
        Mean Verbs per Utterance,0.00 **,-5.44,,1.49,1.00,2.09,0.27
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.36,,80.92,31,183,34.22
        Number Different Words (NDW),0 **,-2.91,,44.68,21,94,15.33
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.07,,6.00,1.00,20.00,5.61
        Mean Turn Length (words),0.00 *,-1.01,,40.79,3.92,140.00,40.39
        % Responses to Questions,---,,,70.98,0.00,100.00,34.49
        % Responses to Intonation Prompts,---,,,100.00,100.00,100.00,0.00
        % Utts with Overlapping Speech,0.0%,-0.28,,0.57,0.00,10.00,2.07
        % Utts Interrupted Other Speaker,0.0%,-0.22,,0.40,0.00,10.00,1.80
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,60.18,19.63,126.67,25.29
        Pause Time as % of Total Time,---,,,8.09,0.00,52.22,11.13
        Maze Words as % of Total Words,0.0% *,-1.54,,12.34,0.00,31.69,8.00
        % Abandoned Utterances,0.0%,-0.57,,3.20,0.00,20.00,5.59
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.06,,17.52,0.00,77.78,16.51
        % Word Errors,0.0%,-0.92,,2.63,0.00,10.17,2.87
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 5;6 - 6;0,,,,,,,
