Tran1
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 7/19/2001
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: NZ-AU Story Retell
59 database samples
Context: Narration (AGL)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 59 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-20.15,,6.69,6.50,7.00,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.56,,13.24,5,26,5.16
        C&I Verbal Utts,0 **,-2.51,,12.61,4,26,5.02
        All Words Including Mazes,0 **,-2.55,,102.54,42,216,40.14
        Elapsed Time,---,,,1.65,0.43,4.00,0.79
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-36.11,,99.19,87.50,100.00,2.75
        % Intelligible Words,0.0% **,-95.35,,99.77,92.54,100.00,1.05
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.44,,7.19,4.92,13.38,1.32
        MLU in Morphemes,0.00 **,-5.57,,7.59,5.31,14.00,1.36
        % Utterances with Verbs,0.0% **,-17.44,,96.66,80.00,100.00,5.54
        Mean Verbs per Utterance,0.00 **,-5.64,,1.52,1.00,2.25,0.27
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.63,,88.80,32,187,33.80
        Number Different Words (NDW),0 **,-3.21,,49.19,23,91,15.31
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.23,,7.33,1.25,26.00,5.94
        Mean Turn Length (words),0.00 *,-1.24,,51.15,6.70,163.00,41.11
        % Responses to Questions,---,,,72.84,0.00,100.00,36.66
        % Responses to Intonation Prompts,---,,,72.22,0.00,100.00,44.10
        % Utts with Overlapping Speech,0.0%,-0.19,,0.26,0.00,8.33,1.42
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,72.04,21.43,150.00,31.56
        Pause Time as % of Total Time,---,,,9.58,0.00,61.46,13.61
        Maze Words as % of Total Words,0.0% *,-1.43,,12.05,0.00,36.36,8.42
        % Abandoned Utterances,0.0%,-0.62,,3.48,0.00,20.00,5.60
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.18,,12.66,0.00,50.00,10.72
        % Word Errors,0.0%,-0.97,,1.64,0.00,7.46,1.69
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
All other measures based on total utterances
Database selection criteria: Age 6;6 - 7;0,,,,,,,
