Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Monolingual Spanish Story Retell,,,,,,,
11 database samples,,,,,,,
Context: Narration (OFTM),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 11 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-41.27,,6.88,6.75,7,0.09
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.65,,46.64,32,87,17.58
        C&I Verbal Utts,0 **,-2.67,,43.91,30,80,16.42
        All Words Including Mazes,0 **,-2.3,,327.09,172,586,142.52
        Elapsed Time,---,,,3.66,2.03,6.05,1.31
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-35.2,,98.23,92.31,100,2.79
        % Intelligible Words,0.0% **,-200.01,,99.69,98.54,100,0.5
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.05,,6.5,4.79,8,1.07
        MLU in Morphemes,0.00 **,-6.01,,6.65,4.88,8.17,1.11
        % Utterances with Verbs,0.0% **,-6.35,,72.43,60,93.55,11.4
        Mean Verbs per Utterance,0.00 **,-4.63,,1.09,0.79,1.45,0.23
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.26,,291.36,158,515,128.76
        Number Different Words (NDW),0 **,-4.24,,95.36,63,132,22.48
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.04,,31.8,4.35,54,15.62
        Mean Turn Length (words),0.00 *,-1.82,,212.51,26.65,342,116.45
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,88.48,60.28,122.28,17.35
        Pause Time as % of Total Time~,---,,,5.58,2.7,8.45,4.06
        Maze Words as % of Total Words,0.0% **,-3.14,,7.93,4.19,11.81,2.53
        % Abandoned Utterances,0.00%,-0.87,,3.46,0,12.82,3.98
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.27,,19.7,5.88,36.36,8.67
        % Word Errors,0.0% **,-2.04,,3.4,1.23,6.07,1.66
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 2 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 6;6 - 7;0,,,,,,,
