Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Monolingual Spanish Story Retell,,,,,,,
37 database samples,,,,,,,
Context: Narration (OFTM),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 37 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-37.2,,8.76,8.5,9,0.15
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.07,,49.35,13,117,16.06
        C&I Verbal Utts,0 **,-2.92,,46.16,10,110,15.8
        All Words Including Mazes,0 **,-2.98,,388.97,78,911,130.32
        Elapsed Time,---,,,3.85,1.48,7.1,1.1
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-33.49,,98.21,89.29,100,2.93
        % Intelligible Words,0.0% **,-204.5,,99.73,97.58,100,0.49
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-10.08,,7.36,5.3,8.91,0.73
        MLU in Morphemes,0.00 **,-10.25,,7.53,5.39,9,0.73
        % Utterances with Verbs,0.0% **,-9.12,,66.49,51.61,77.19,7.29
        Mean Verbs per Utterance,0.00 **,-5.59,,0.98,0.6,1.49,0.18
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.8,,340.32,66,829,121.53
        Number Different Words (NDW),0 **,-3.85,,98.19,29,206,25.5
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.02,,42.81,2.17,117,21.23
        Mean Turn Length (words),0.00 *,-1.94,,311.07,13,880,160.12
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,103.15,21.27,137.53,22.76
        Pause Time as % of Total Time~,---,,,3.7,0.76,10,3.37
        Maze Words as % of Total Words,0.0% *,-1.87,,9.79,1.27,22.66,5.25
        % Abandoned Utterances,0.00%,-0.97,,4.87,0,23.08,5.03
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.45,,24.51,6.67,50,10
        % Word Errors,0.0% **,-2.41,,3.87,1.08,7.52,1.6
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 6 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 8;6 - 9;0,,,,,,,
