Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Monolingual Spanish Story Retell,,,,,,,
29 database samples,,,,,,,
Context: Narration (OFTM),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 29 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-39.32,,9.28,9,9.5,0.16
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.02,,50.79,26,84,12.62
        C&I Verbal Utts,0 **,-4.1,,47.79,24,77,11.65
        All Words Including Mazes,0 **,-3.43,,396.31,190,744,115.42
        Elapsed Time,---,,,3.82,1.93,6.05,0.99
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-41.83,,98.71,90,100,2.36
        % Intelligible Words,0.0% **,-313.23,,99.82,98.85,100,0.32
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-8,,7.28,4.98,8.91,0.91
        MLU in Morphemes,0.00 **,-8.41,,7.48,5.29,9,0.89
        % Utterances with Verbs,0.0% **,-7.5,,68.78,48.05,93.85,9.17
        Mean Verbs per Utterance,0.00 **,-5.41,,1,0.57,1.35,0.18
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.79,,347.59,159,571,91.81
        Number Different Words (NDW),0 **,-5.66,,103.45,70,140,18.27
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.81,,36.16,3.67,84,20.03
        Mean Turn Length (words),0.00 *,-1.74,,265.95,23.11,599,153.11
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,104.95,64.93,137.7,19.95
        Pause Time as % of Total Time~,---,,,6.08,2.3,13.01,4.84
        Maze Words as % of Total Words,0.0% *,-1.93,,9.35,1.53,21.08,4.85
        % Abandoned Utterances,0.00%,-0.79,,3.6,0,19.05,4.58
ERRORS,,,,,,,
        % Utterances with Errors,0.0% **,-2.65,,20.96,8,38.1,7.91
        % Word Errors,0.0% **,-2.18,,3.31,1.06,7.39,1.52
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 4 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 9;0 - 9;6,,,,,,,
