Tran1,,,,,,,
Transcript Cut: 15 Utterances,,,,,,,
TRANSCRIPT INFORMATION,,,,,,,
Speaker: Child,,,,,,,
Sample Date: 7/19/2001,,,,,,,
Current Age: 3;0,,,,,,,
Context: ,,,,DATABASE INFORMATION,,,
Database: Monolingual Spanish Story Retell,,,,,,,
79 database samples,,,,,,,
Context: Narration (FGTD),,,,,,,
SD Interval: 1.0,,,,,,,
STANDARD MEASURES REPORT,,,,,,,
Compared to 79 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-32.4,,8.75,8.5,9,0.18
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-4.31,,41.91,27,85,9.73
        C&I Verbal Utts,0 **,-4.25,,40.22,22,81,9.46
        All Words Including Mazes,0 **,-3.3,,328.3,153,749,99.47
        Elapsed Time,---,,,3.78,1.95,7.65,0.95
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-50.51,,99.25,86.67,100,1.96
        % Intelligible Words,0.0% **,-399.6,,99.9,98.41,100,0.25
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-6.83,,7.43,4.89,10.85,1.09
        MLU in Morphemes,0.00 **,-6.89,,7.58,4.91,11.11,1.1
        % Utterances with Verbs,0.0% **,-6.68,,62.47,45,92.86,9.35
        Mean Verbs per Utterance,0.00 **,-4.64,,0.85,0.49,1.37,0.18
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-3.53,,299.62,123,670,84.79
        Number Different Words (NDW),0 **,-5.36,,105.24,56,184,19.64
        Moving-Average NTW,---,,,0,0,0,0
        Moving-Average NDW,---,,,0,0,0,0
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 **,-2.47,,32.84,3.25,63,13.27
        Mean Turn Length (words),0.00 **,-2.39,,239.57,24.17,477,100.25
        % Responses to Questions,---,,,,,,
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.00%,0,,0,0,0,0
        % Utts Interrupted Other Speaker,0.00%,0,,0,0,0,0
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,89.46,42.69,141.03,25.87
        Pause Time as % of Total Time~,---,,,4.18,0.76,15.42,4.36
        Maze Words as % of Total Words,0.00%,-0.93,,5.58,0,26.93,6.01
        % Abandoned Utterances,0.00%,-0.64,,2.58,0,24.14,4.02
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.83,,13.74,0,43.33,7.5
        % Word Errors,0.0% *,-1.82,,2.1,0,6.73,1.16
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean,,,,,,,
Pause data based on a subset of 12 database samples,,,,,,,
Italicized measures count occurrences and can be significantly affected by the different sample lengths.,,,,,,,
Measures based on C&I Verbal Utts: Syntax/Morphology and Semantics sections,,,,,,,
All other measures based on total utterances,,,,,,,
~ Value Missing For Some Database Records,,,,,,,
Database selection criteria: Age 8;6 - 9;0,,,,,,,
