Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: TNL2 Narrative Samples
31 Samples Matched By Age
Context: Narration (All 3 Stories)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 31 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-36.09,,13.40,13.00,14.00,0.29
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-3.04,,45.68,24,81,15.01
        C&I Verbal Utts,0 **,-2.88,,43.13,23,78,14.95
        All Words Including Mazes,0 **,-3.00,,406.35,212,706,135.30
        Elapsed Time,---,,,3.24,1.65,6.87,1.17
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-49.20,,99.11,92.59,100.00,2.01
        % Intelligible Words,0.0% **,-221.52,,99.84,97.75,100.00,0.45
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-7.85,,8.52,6.57,10.84,1.09
        MLU in Morphemes,0.00 **,-7.85,,9.41,7.28,12.16,1.20
        % Utterances with Verbs,0.0% **,-29.77,,97.31,86.21,100.00,3.27
        Mean Verbs per Utterance,0.00 **,-7.83,,1.78,1.37,2.28,0.23
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.73,,367.68,192,657,134.55
        Number Different Words (NDW),0 **,-3.45,,157.71,84,256,45.70
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00 *,-1.88,,38.43,7.20,81.00,20.42
        Mean Turn Length (words),0.00 *,-1.84,,315.63,44.40,657.00,171.45
        % Responses to Questions,---,,,100.00,100.00,100.00,0.00
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,-0.32,,0.34,0.00,4.17,1.07
        % Utts Interrupted Other Speaker,0.0%,0.00,,0.00,0.00,0.00,0.00
VERBAL FACILITY,,,,,,,
        Words per Minute,---,,,129.38,67.58,175.89,29.85
        Pause Time as % of Total Time,---,,,1.57,0.00,26.77,5.20
        Maze Words as % of Total Words,0.0% *,-1.60,,7.59,0.67,23.78,4.75
        % Abandoned Utterances,0.0%,-0.91,,2.43,0.00,8.93,2.66
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.35,,11.36,0.00,35.71,8.43
        Number of Omissions,0,-0.78,,1.87,0,9,2.40
        Number of Error Codes,0 *,-1.09,,4.39,0,16,4.03
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
Database selection criteria: Age 13;0 - 14;0,,,,,,,
