Tran2,,,,,,,
TRANSCRIPT INFORMATION
Speaker: Child
Sample Date: 
Current Age: 3;0
Context: ,,,,DATABASE INFORMATION
Database: TNL Narrative Samples
55 Samples Matched By Age
Context: Narration (All 3 Stories)
SD Interval: 1.0,,,
STANDARD MEASURES REPORT
Compared to 55 Samples Matched by Age,,,,,,,
LANGUAGE MEASURE,Child,,,DATABASE,,,
,Score,+/-SD,,Mean,Min,Max,SD
,,,,,,,
        Current Age (3;0),3.00 **,-9.71,,5.61,5.00,6.00,0.27
TRANSCRIPT LENGTH,,,,,,,
        Total Utterances,0 **,-2.74,,29.75,8,64,10.86
        C&I Verbal Utts,0 **,-2.58,,25.42,7,56,9.84
        All Words Including Mazes,0 **,-2.12,,218.89,43,626,103.42
        Elapsed Time-,---,,,,,,
INTELLIGIBILITY,,,,,,,
        % Intelligible Utterances,0.0% **,-24.18,,98.16,80.00,100.00,4.06
        % Intelligible Words,0.0% **,-114.53,,99.64,95.56,100.00,0.87
SYNTAX/MORPHOLOGY,,,,,,,
        MLU in Words,0.00 **,-5.49,,6.66,3.00,8.84,1.21
        MLU in Morphemes,0.00 **,-5.73,,7.29,3.30,9.54,1.27
        % Utterances with Verbs,0.0% **,-12.59,,92.82,68.75,100.00,7.37
        Mean Verbs per Utterance,0.00 **,-5.43,,1.37,0.69,1.88,0.25
SEMANTICS,,,,,,,
        Number Total Words (NTW),0 **,-2.01,,175.13,30,495,86.98
        Number Different Words (NDW),0 **,-2.77,,84.42,25,184,30.48
        Moving-Average NTW,---,,,0.00,0,0,0.00
        Moving-Average NDW,---,,,0.00,0,0,0.00
        Moving-Average Type-Token Ratio (TTR),---,,,,,,
DISCOURSE,,,,,,,
        Mean Turn Length (utterances),0.00,-0.86,,11.31,1.06,64.00,13.17
        Mean Turn Length (words),0.00,-0.75,,78.54,1.72,516.00,105.27
        % Responses to Questions,---,,,88.56,40.00,100.00,18.11
        % Responses to Intonation Prompts,---,,,,,,
        % Utts with Overlapping Speech,0.0%,-0.34,,0.47,0.00,7.69,1.38
        % Utts Interrupted Other Speaker,0.0%,-0.13,,0.06,0.00,3.23,0.43
VERBAL FACILITY,,,,,,,
        Words per Minute-,---,,,,,,
        Pause Time as % of Total Time-,---,,,,,,
        Maze Words as % of Total Words,0.0% *,-1.61,,12.65,1.96,35.42,7.86
        % Abandoned Utterances,0.0%,-0.78,,3.03,0.00,16.00,3.88
ERRORS,,,,,,,
        % Utterances with Errors,0.0% *,-1.35,,13.81,0.00,46.15,10.20
        Number of Omissions,0,-0.70,,1.38,0,10,1.98
        Number of Error Codes,0 *,-1.27,,3.25,0,10,2.55
,,,,,,,
* At least 1 SD (** 2 SD) from the database mean
Italicized measures count occurrences and can be significantly affected by the different sample lengths.
Calculations based on C&I Verbal Utts: Syntax/Morphology and Semantics sections
- Value Missing For All Database Records
Database selection criteria: Age 5;0 - 6;0,,,,,,,
